Group,Subgroup,Name,Shape,Type,Size
AwakeEventData,AwakeEventData/AIRTR01/Acq,numericPosition,"(1,)",float32,1
AwakeEventData,AwakeEventData/AIRTR02/Acq,numericPosition,"(1,)",float32,1
AwakeEventData,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,phaseACurrentValue,"(1,)",float32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,acqDesc,"(1,)",|S1,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,acqMsg,"(1,)",|S1,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,acqState,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,acqTime,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,alarmStatus,"(40,)",int16,40
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,blrSignalStatus,"(40,)",int16,40
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,calLosses,"(40,)",float32,40
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,calLosses_unit,"(1,)",|S4,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,calLosses_unitExponent,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,calThresholds,"(40,)",float32,40
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,channelNames,"(15,)",|S15,15
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,deviceName,"(1,)",|S5,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,enableExtFlagBIC,"(2,)",int32,2
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,measStamp,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,nbOfChannels,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,nbOfMeas,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,normLosses,"(40,)",float32,40
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,observables,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,rawLosses,"(40,)",int16,40
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,superCycleNb,"(1,)",int32,1
AwakeEventData,AwakeEventData/BLMITT41/Acquisition,totalGains,"(5,)",int32,5
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,horProjection,"(2048,)",float64,2048
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,imageRawData,"(1080, 2048)",int16,2211840
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,verProjection,"(1080,)",float64,1080
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,exposureTime,"(1,)",float64,1
